step,firm_id,sector,production,emissions,intensity,cash,credits_owned
3,Firm_AL28,Aluminium,249153.0,150202.11022794354,,109735201.39013793,0.0
3,Firm_IR62,Iron & Steel,389277.0,257193.76452988223,,132381648.95422956,0.0
3,Firm_IR68,Iron & Steel,429018.0,291069.41481740266,,143366438.54755318,0.0
3,Firm_PU33,Pulp & Paper,140301.0,17437.286862658373,,59096397.823428296,0.0
3,Firm_CH51,Chlor-Alkali,174690.0,36451.26632834394,,51676224.35129756,0.0
3,Firm_AL16,Aluminium,234924.0,118377.27008905362,,68393963.4858061,0.0
3,Firm_PE92,Petroleum Refining,301551.0,96297.8058650406,,139711558.39286405,0.0
3,Firm_PU32,Pulp & Paper,138504.0,19128.703669621023,,51833172.9425677,0.0
3,Firm_PE116,Petrochemicals,237060.0,42368.48919484437,,64535347.780001365,0.0
3,Firm_PE91,Petroleum Refining,322920.0,103158.20947081396,,111376466.5570227,0.0
3,Firm_IR66,Iron & Steel,302868.0,215894.21588043007,,119206826.1217611,0.0
3,Firm_CE08,Cement,323184.0,87297.68346799415,,82802015.08754426,0.0
3,Firm_AL27,Aluminium,223632.0,127221.35442005558,,90041895.15518233,0.0
3,Firm_IR72,Iron & Steel,364776.0,261216.26141336325,,146513147.65894297,0.0
3,Firm_PE118,Petrochemicals,253110.0,39728.68616454433,,90087920.1594192,0.0
3,Firm_IR64,Iron & Steel,378045.0,241890.12168671863,,143164227.6017394,0.0
3,Firm_CH53,Chlor-Alkali,180699.0,41484.79280928612,,50776215.88914698,0.0
3,Firm_CE02,Cement,248241.0,68455.06338599393,,56155833.26540735,0.0
3,Firm_AL21,Aluminium,223473.0,118698.37671421964,,63848330.8568841,0.0
3,Firm_PO133,Power,534453.0,141323.50439395927,,199938895.78913388,0.0
3,Firm_IR67,Iron & Steel,358026.0,226071.560030912,,153728068.37780353,0.0
3,Firm_PE100,Petroleum Refining,271716.0,92240.92873814852,,110303242.20356251,0.0
3,Firm_PE110,Petrochemicals,265905.0,47584.15627626988,,59224321.72348578,0.0
3,Firm_PO135,Power,592686.0,143653.29889410688,,178927683.89279452,0.0
3,Firm_AL19,Aluminium,258843.0,147534.68696097162,,68673950.27131523,0.0
3,Firm_CH52,Chlor-Alkali,188952.0,41600.833552200784,,65957837.47034678,0.0
3,Firm_PE109,Petrochemicals,249777.0,44770.35799638677,,64959780.07917861,0.0
3,Firm_FE80,Fertilizer,221133.0,41878.188893604514,,71568492.90986408,0.0
3,Firm_PO125,Power,487347.0,137614.20090991643,,126768738.6880081,0.0
3,Firm_FE83,Fertilizer,187590.0,33694.47390392631,,42462741.22522371,0.0
3,Firm_CE14,Cement,297570.0,82958.82073565405,,88633191.02061686,0.0
3,Firm_PO132,Power,546735.0,131710.5803500483,,207708022.74723065,0.0
3,Firm_FE82,Fertilizer,216795.0,42671.487838167646,,64263756.2252825,0.0
3,Firm_PE104,Petroleum Refining,273849.0,95340.0592284482,,124317741.9929806,0.0
3,Firm_PE112,Petrochemicals,255864.0,38444.96500165871,,59546195.75871571,0.0
3,Firm_FE79,Fertilizer,204774.0,37789.35958538632,,58291450.63776679,0.0
3,Firm_FE90,Fertilizer,208509.0,39117.3288570228,,58479872.53600802,0.0
